index:4846	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
this is the 3 copy version of norton av . ( one cd will create three copies ) i purchased it to save money as it was less than $20 per copy . i bought it to replace nav 2006 on the same three computers which had expired . installed easily on two machines . just the uninstall of 2006 and the install of 2007. the first machine was more difficult . there is evidently some conflicting software on the computer as i had to use msconfig for a " clean boot " per norton web site instructions . i kept running into the " blue screen of death " on the previous installs when i would get to the actual install of the norton av . each time i would have to uninstall the program and do more . but all of the help came from the symantec ( norton ) website . it is now working fine . added : my personal preference is to not use software firewalls . i use a router with nat as a hardware firewall . ( it only blocks unauthorized incoming malware ) software firewalls try to tell you about everything leaving your computer and generally you either become paranoid or just shut the thing off . they are intended to look for malware by behavior . antivirus programs look for malware by signature . the only advantage to finding malware by behavior is if the computer is attacked in the first day or two of the malware 's existence . if one has an antivirus program it will eventually ( within a few days ) find the problem that the software firewall was trying to tell someone about . ( assuming they have n't given up yet with too many cries for wolf ) . so the only software firewall i have ( microsoft os firewall ) is turned off and thus i have n't had the same problem as others report . as a practice i sent junk email directly to the trash can and avoid weird websites . so far no problems with malware .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
             word  freq in doc  freq in neg docs  freq in pos docs
111      hardware            1                38                33
112           has            1              1728              1986
113          look            2               395               344
114          more            2              1632              1853
115        within            1               106               120
116           and            5             16392             18511
117          into            1               750               841
118      programs            1               108               121
119     antivirus            2                30                27
120        blocks            1                 9                10
121          days            1               235               213
122         added            1                59                65
123            it            6             12805             11629
124         about            2              1881              1712
125           per            2                57                52
126      behavior            2                21                23
127          less            1               288               263
128            in            1              7861              8604
129            is            7             10782             11796
130            to           11             17142             15686
131         which            1              1310              1203
132         given            1               161               148
133         three            2               261               240
134            an            1              1910              2076
135         first            2              1005              1092
136       program            2               415               450
137      websites            1                12                13
138            up            1              1509              1395
139          with            3              4999              5398
140        report            1                29                27
141          have            4              4311              4016
142       finding            1                43                46
143             s            1              5094              5447
144          this            1              9854              9231
145            of            7             13280             14141
146           you            2              5542              5872
147            on            4              4756              4494
148             a            5             15218             16073
149           for            4              6169              6493
150          many            1               778               817
151          came            1               254               243
152           few            1               511               489
153        copies            1                23                24
154          from            1              2240              2332
155          than            1              1288              1238
156  instructions            1                63                61
157        screen            1               195               189
158            cd            1               703               725
159           two            2               708               687
160            my            1              3662              3771
161           all            1              2566              2496
162           web            1                92                90
163          thus            1                50                49
164           one            2              2703              2757
165        others            1               209               212
166          find            1               574               582
167            by            3              1819              1842
168          your            1              1413              1396
169          time            1              1390              1406
170           far            1               379               375
171          will            2              1519              1507
172           the           23             33204             33454
173           now            1               772               769
174           are            1              3589              3599
175          some            1              1439              1436
176         cries            1                 2                 2
======================================================================================================

index:9763	label:neg	pred:pos	pred_prob: 0.00 vs 1.00
there is one thing that every cookbook author can learn from how to cook without a book : recipes and techniques every cook should know by heart , by pam anderson ( not the big-breasted one ) , and that is the art of the highly marketable title . for starters , this artful moniker really plays on the single gal 's fears about never being able to put together nutritious , attractive , varied , affordable , and delicious meals for her future family every single night of the week . you want your kids to be armed with more than some simple carbohydrates when you send them off into the big bad world . so the plus side of this book is the title . that 's where it ends . the big idea here is to help the reader become a non-cookbook-consulting cook by : a ) teaching basic cooking techniques that are conducive to variation , and b ) suggesting mnemonic devices for said cooking techniques . sounds interesting so far , right ? well , the problem is that almost all the recipes rely on " canned low-sodium chicken broth " , which i think is a bit of a weird ingredient . it 's even included in the salad dressings . other big hitters include : heavy cream , butter , and sour cream . do people really eat like this ? regularly ? why not make the easy fruit parfaits for a quick and sweet ending to your meal ? just take a tall glass , drop in a few spoonfuls of sour cream , then a few spoonfuls of brown sugar , and some berries . repeat until the glass is filled . crikey . sour cream , brown sugar , and berries ? ! ? would n't it be just as easy to put the berries in yoghurt sweetened with a little squirt of greek honey ? am i totally off base thinking that this sounds much more appetizing ? or , if calories are no object anyway , why not pick up some baskin robbins ' rocky road on the way home from work ? that 's easy and it 's worth the internal havoc it will cause . oh , and here 's a sample mnemonic device that i ca n't not share , it 's that good : " cook tender vegetables with garlic and oil , then toss in some pasta that 's fresh from the boil . " pure genius , right ? right . in a way , the author was right - i can cook all these things without a book . but why would i want to

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
              word  freq in doc  freq in neg docs  freq in pos docs
0           artful            1                 0                 2
1          berries            3                 0                 1
2    carbohydrates            1                 0                 3
3        conducive            1                 0                 1
4       consulting            1                 0                 9
5           crikey            1                 1                 0
6           garlic            1                 0                 1
7          moniker            1                 0                 1
8       nutritious            1                 0                 2
9           sodium            1                 0                 1
10            sour            3                 2                 0
11       sweetened            1                 2                 0
12        cookbook            2                 1                18
13       delicious            1                 1                14
14          tender            1                 2                 9
15       variation            1                 4                 1
16          highly            1                94               358
17          varied            1                 3                11
18         cooking            2                 3                10
19            send            1               120                37
20             oil            1                26                83
21            easy            3               215               685
22            boil            1                 3                 1
23             gal            1                 6                 2
24            tall            1                18                 6
25             bad            1               741               248
26           cream            4                19                56
27           greek            1                 8                23
28           sweet            1                24                67
29          author            2               337               121
30         devices            1                19                 7
31          repeat            1                34                13
32         recipes            2                14                36
33      marketable            1                 2                 5
34           heart            1                72               179
35           sugar            2                11                27
36      affordable            1                 8                19
37        thinking            1               171                72
38      attractive            1                28                12
39           havoc            1                 3                 7
40      suggesting            1                 7                 3
41          butter            1                 7                16
42          genius            1                23                52
43           fruit            1                 4                 9
44           quick            1                57               128
45              oh            1               135                63
46        included            1                69               140
47          sounds            2               194                96
48       dressings            1                 1                 2
49           fears            1                 7                14
50           honey            1                 3                 6
51            meal            1                 6                12
52         robbins            1                 2                 1
53           rocky            1                 4                 2
54           salad            1                 2                 4
55          squirt            1                 2                 1
56      vegetables            1                 6                 3
57         problem            1               509               256
58          device            1                89                45
59            idea            1               206               109
60             why            3               600               326
61        anderson            1                12                22
62          family            1               145               259
63            said            1               339               190
64           plays            1                62               110
65           cause            1                93                53
66             art            1                77               135
67            toss            1                 7                 4
68            base            1                52                30
69          sample            1                17                10
70           meals            1                 5                 3
71             not            4              5323              3260
72              no            1              1818              1133
73          simple            1               136               217
74            plus            1                96               153
75           fresh            1                38                60
76               t            2              4503              2890
77        teaching            1                20                31
78            week            1               128                83
79               n            2              4387              2850
80           weird            1                38                25
81             off            2               732               483
82            pure            1                41                62
83           learn            1               148               223
84           would            2              2164              1441
85           armed            1                 9                 6
86         chicken            1                 6                 9
87             eat            1                40                60
88      ingredient            1                 9                 6
89            well            1               911              1366
90           thing            1               564               379
91          become            1               103               153
92          should            1               662               449
93            even            1              1416               963
94         totally            1               133                91
95              ca            1               524               359
96             non            1               124                85
97             was            1              5467              3831
98            side            1               122               171
99        together            1               152               213
100           know            1               751               537
101             do            1              2731              1962
102           work            1               934               674
103           then            2              1055               763
104           home            1               212               291
105          share            1                38                52
106           road            1                36                49
107            bit            1               241               327
108          brown            2                27                36
109       starters            1                 4                 3
110         single            2               119               156
111          never            1               714               554
112        without            2               373               480
113         little            1               544               699
114          world            1               287               368
115            can            2              1444              1844
116             if            1              2660              2084
117           pick            1                82               104
118             as            1              3580              4487
119           take            1               574               460
120          there            1              1896              1528
121           just            2              2105              1702
122           want            2               655               531
123             or            1              2429              1973
124         anyway            1                97                79
125          night            1               163               198
126           book            3              1967              1625
127         things            1               327               395
128            but            1              4672              3874
129         really            2               973              1172
130              i            5             17409             14584
131             so            2              2632              2214
132           make            1               789               665
133           when            1              1811              1528
134         object            1                27                32
135           that           10              8117              6863
136           like            1              2228              1887
137         people            1               768               651
138          every            3               436               513
139        include            1                68                80
140             be            2              3157              2688
141          basic            1               110                94
142          worth            1               309               359
143          being            1               504               434
144           them            1              1127               977
145           help            1               324               281
146          glass            2                42                48
147          heavy            1                66                75
148          until            1               226               199
149           more            2              1632              1853
150            and           11             16392             18511
151         ending            1                80                71
152           into            1               750               841
153            how            1               978               873
154           cook            5                17                19
155           rely            1                 9                10
156           much            1              1150              1040
157             it            6             12805             11629
158     techniques            3                20                22
159          about            1              1881              1712
160             in            5              7861              8604
161             is            7             10782             11796
162            way            2               797               729
163             to            8             17142             15686
164            big            4               342               314
165          which            1              1310              1203
166         filled            1                46                50
167            put            2               381               351
168          title            2               105                97
169         reader            1               122               132
170             up            1              1509              1395
171         future            1                87                94
172           ends            1                54                50
173           with            3              4999              5398
174           here            2               543               503
175          right            4               411               383
176           good            1              1514              1622
177             am            1               777               726
178              s            8              5094              5447
179           this            4              9854              9231
180              b            1               123               131
181             of            7             13280             14141
182      regularly            1                17                16
183    interesting            1               211               199
184           kids            1               166               176
185            you            2              5542              5872
186             on            3              4756              4494
187              a           13             15218             16073
188            for            4              6169              6493
189           able            1               263               276
190            low            1               208               199
191            few            2               511               489
192          where            1               493               473
193           from            3              2240              2332
194           than            1              1288              1238
195          other            1              1183              1141
196          think            1               644               623
197            her            1              1093              1058
198       internal            1                32                33
199           drop            1                35                34
200            all            2              2566              2496
201          these            1               874               892
202            one            2              2703              2757
203             by            3              1819              1842
204           your            2              1413              1396
205            far            1               379               375
206           will            1              1519              1507
207            the           20             33204             33454
208         almost            1               319               318
209            are            2              3589              3599
210           some            4              1439              1436
211       calories            1                 7                 7
212         canned            1                 5                 5
213            pam            1                 2                 2
214          pasta            1                 1                 1
215        yoghurt            1                 1                 1
======================================================================================================

index:583	label:neg	pred:pos	pred_prob: 0.00 vs 1.00
in the classic and disturbing 1972 movie deliverance , lewis ( burt reynolds ) gives this ominous warning to ed ( jon voigt ) : " machines are going to fail . systems are going to fail . then.. . survival . " what , i wonder , will richard d . james ( a.k.a. aphex twin , a.k.a. afx ) do when the machines fail ? it 's been nearly five years since his underappreciated album drukqs , where we got a tantalizing possible answer to this question : the plaintive , lovely , satie-esque acoustic keyboard nocturnes intermingled among the abstract , frantic electronic soundscapes throughout its sprawling duration . [another intriguing solution was proposed on the album acoustica : alarm will sound performs aphex twin...] chosen lords , rdj 's first proper cd release since then , is actually a collection of various tracks from his " analord series " of overpriced , elaborately packaged 12-inch vinyl singles that he 's been cranking out over the last year or so . those who were put off by the excesses and overt eccentricity of drukqs may hail these cryptically titled , drum-machine laden compositions as a " return to greatness . " indeed , afx is certainly reviving a more compact , accessible ( for him ) , and straightforward style here , with comparatively regular ( though not quite danceable ) rhythms and those comforting underlying simple synthesizer melodies . i have to say , though , that there 's a disappointing and somewhat melancholy sense here of a great musical mind spinning its wheels . by returning to such familiar ground he seems to be setting up systems and letting them run their course in an almost cynical way , without any of the maniacal glee that was once part of his singular musical personality on unforgettable releases like come to daddy , windowlicker , the richard d . james album , and , yes - - drukqs . notably lacking are the voices that once regularly appeared in his productions - - true , they were usually rather unsettling , distorted , and manipulated voices , but at least they added some welcome humanity . also missing are those rare but beautiful moments of repose ( ballads ? ) such as " flim , " " nannou " and the striking piano interludes on drukqs . in the end , chosen lords , while an undeniably interesting and expertly produced collection of electronic music , is nonetheless a sterile , static , joyless affair . if it inspires any emotion at all , it will probably be pity and sadness as you listen to a possible musical genius coasting along without exploring any new directions for the first time in his otherwise remarkable career . yes , i 'm afraid the machines have failed richard d . james , and i sincerely hope he can survive in this cold and remote musical wilderness of his own creation. .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
                 word  freq in doc  freq in neg docs  freq in pos docs
0          comforting            1                 0                 8
1       comparatively            1                 2                 0
2            cranking            1                 0                 3
3        eccentricity            1                 1                 0
4                flim            1                 0                 1
5               lords            2                 1                 0
6            maniacal            1                 1                 0
7          melancholy            1                 0                 8
8           plaintive            1                 0                 2
9            proposed            1                 3                 0
10           reynolds            1                 2                 0
11            rhythms            1                 0                 6
12        soundscapes            1                 0                 4
13          sprawling            1                 0                 1
14        tantalizing            1                 1                 0
15   underappreciated            1                 0                 1
16         unsettling            1                 0                 1
17      disappointing            1               102                10
18         accessible            1                 2                16
19         undeniably            1                 1                 6
20           expertly            1                 1                 5
21            ominous            1                 1                 5
22               rare            1                10                49
23            welcome            1                 5                23
24            sadness            1                 2                 9
25      unforgettable            1                 4                17
26          returning            1                54                13
27            ballads            1                 7                28
28    straightforward            1                 4                16
29         remarkable            1                 8                31
30           performs            1                 5                18
31             return            1               253                71
32            compact            1                27                86
33           humanity            1                 8                25
34           coasting            1                 3                 1
35               hail            1                 3                 1
36          sincerely            1                 3                 1
37           singular            1                 3                 1
38         wilderness            1                 2                 6
39          distorted            1                17                 6
40        nonetheless            1                 8                22
41             failed            1                64                24
42              piano            1                21                56
43               inch            1                14                37
44        manipulated            1                 5                 2
45               pity            1                 4                10
46              great            1               840              2011
47         collection            2                93               222
48               burt            1                 3                 7
49           creation            1                10                23
50            machine            1               124                54
51             genius            1                23                52
52              daddy            1                 4                 9
53            notably            1                 9                 4
54           survival            1                 8                18
55         overpriced            1                20                 9
56           keyboard            1                11                24
57               twin            2                 6                13
58         directions            1                41                19
59            classic            1               105               226
60          beautiful            1               102               211
61            lacking            1                41                20
62          danceable            1                 2                 4
63           familiar            1                40                80
64            sterile            1                 1                 2
65          otherwise            1               112                57
66            warning            1                43                22
67              alarm            1                27                14
68            singles            1                12                23
69               drum            1                19                10
70             lovely            1                17                32
71              laden            1                 7                13
72                jon            1                18                10
73             answer            1                75                42
74              gives            1               116               204
75           actually            1               465               270
76           melodies            1                17                29
77            richard            3                26                44
78               five            1                79               133
79           duration            1                 3                 5
80        synthesizer            1                 3                 5
81             chosen            2                11                18
82                not            1              5323              3260
83       compositions            1                 8                13
84               fail            3                26                16
85             wonder            1                93                58
86             simple            1               136               217
87              along            1               124               197
88              james            3                41                65
89         underlying            1                 9                14
90                got            1               671               438
91                off            1               732               483
92              style            1               140               212
93          exploring            1                 4                 6
94           spinning            1                 4                 6
95           striking            1                 6                 4
96             wheels            1                 2                 3
97               they            2              2739              1836
98               also            1               842              1253
99             course            1               179               265
100              true            1               172               253
101           various            1                62                91
102           missing            1                82                56
103             years            1               490               717
104          appeared            1                26                18
105               was            2              5467              3831
106          produced            1                74                52
107                 d            3               411               290
108          possible            2               103                73
109            rather            1               270               193
110                do            1              2731              1962
111              then            2              1055               763
112             among            1                45                62
113             least            1               289               210
114              were            2              1139               830
115            affair            1                15                11
116            series            1               205               278
117           another            1               609               451
118              what            1              1856              1391
119          abstract            1                 8                 6
120         certainly            1               106               141
121             those            3               440               585
122          solution            1                49                37
123            career            1                57                75
124             lewis            1                19                25
125       personality            1                25                19
126             going            2               458               349
127             vinyl            1                13                17
128             movie            1              1266               973
129               yes            2               117               152
130             album            3               698               902
131           without            2               373               480
132              cold            1                42                54
133           cynical            1                 9                 7
134               can            1              1444              1844
135                if            1              2660              2084
136          machines            3                15                19
137               may            1               353               445
138               his            6              1515              1909
139             music            1               581               732
140                as            3              3580              4487
141             sense            1               171               137
142          probably            1               290               233
143             there            1              1896              1528
144               own            1               370               456
145                or            1              2429              1973
146                 m            1               809               658
147               out            1              1983              1615
148             quite            1               244               299
149                ed            1                23                19
150               but            2              4672              3874
151              mind            1               162               195
152            afraid            1                30                25
153            static            1                10                12
154              such            2               465               388
155                 i            4             17409             14584
156            tracks            1               155               185
157              come            1               368               309
158            nearly            1                94                79
159                so            1              2632              2214
160              once            2               260               309
161              over            1               899               757
162        disturbing            1                19                16
163        intriguing            1                16                19
164          releases            1                32                38
165              when            1              1811              1528
166              that            4              8117              6863
167              like            1              2228              1887
168           musical            4                72                85
169                be            2              3157              2688
170              part            1               265               310
171       productions            1                 7                 6
172              them            1              1127               977
173           emotion            1                27                31
174              hope            1               148               129
175            listen            1               173               198
176            titled            1                16                14
177               any            3               969               848
